
2023/06/07 (09:34:08) | ===> btop++ v.1.2.13
2023/06/07 (09:34:08) | ERROR: Stall in Runner thread, restarting!

2023/11/08 (08:48:33) | ===> btop++ v.1.2.13
2023/11/08 (08:48:33) | ERROR: Stall in Runner thread, restarting!

2024/03/27 (17:08:24) | ===> btop++ v.1.3.2
2024/03/27 (17:08:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/27 (17:14:02) | ===> btop++ v.1.3.2
2024/03/27 (17:14:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/27 (17:31:01) | ===> btop++ v.1.3.2
2024/03/27 (17:31:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/27 (17:35:53) | ===> btop++ v.1.3.2
2024/03/27 (17:35:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/27 (17:36:46) | ===> btop++ v.1.3.2
2024/03/27 (17:36:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/27 (17:36:47) | ===> btop++ v.1.3.2
2024/03/27 (17:36:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/27 (17:58:34) | ===> btop++ v.1.3.2
2024/03/27 (17:58:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/27 (18:19:56) | ===> btop++ v.1.3.2
2024/03/27 (18:19:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/27 (18:43:37) | ===> btop++ v.1.3.2
2024/03/27 (18:43:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/27 (20:24:56) | ===> btop++ v.1.3.2
2024/03/27 (20:24:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/27 (20:27:22) | ===> btop++ v.1.3.2
2024/03/27 (20:27:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/28 (05:55:35) | ===> btop++ v.1.3.2
2024/03/28 (05:55:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/28 (10:18:05) | ===> btop++ v.1.3.2
2024/03/28 (10:18:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/29 (13:37:55) | ===> btop++ v.1.3.2
2024/03/29 (13:37:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/30 (21:44:54) | ===> btop++ v.1.3.2
2024/03/30 (21:44:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/03 (06:24:28) | ===> btop++ v.1.3.2
2024/04/03 (06:24:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/06 (17:43:09) | ===> btop++ v.1.3.2
2024/04/06 (17:43:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/10 (08:07:56) | ===> btop++ v.1.3.2
2024/04/10 (08:07:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/11 (14:51:03) | ===> btop++ v.1.3.2
2024/04/11 (14:51:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/20 (08:44:50) | ===> btop++ v.1.3.2
2024/04/20 (08:44:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/26 (06:48:15) | ===> btop++ v.1.3.2
2024/04/26 (06:48:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/27 (10:52:16) | ===> btop++ v.1.3.2
2024/04/27 (10:52:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/28 (10:25:47) | ===> btop++ v.1.3.2
2024/04/28 (10:25:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/30 (20:49:34) | ===> btop++ v.1.3.2
2024/04/30 (20:49:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/30 (20:58:50) | ===> btop++ v.1.3.2
2024/04/30 (20:58:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/30 (22:52:12) | ===> btop++ v.1.3.2
2024/04/30 (22:52:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/30 (23:22:27) | ===> btop++ v.1.3.2
2024/04/30 (23:22:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/04 (10:10:20) | ===> btop++ v.1.3.2
2024/05/04 (10:10:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/05 (22:18:29) | ===> btop++ v.1.3.2
2024/05/05 (22:18:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/07 (10:54:20) | ===> btop++ v.1.3.2
2024/05/07 (10:54:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/08 (05:12:10) | ===> btop++ v.1.3.2
2024/05/08 (05:12:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/08 (05:43:41) | ===> btop++ v.1.3.2
2024/05/08 (05:43:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/08 (05:53:56) | ===> btop++ v.1.3.2
2024/05/08 (05:53:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/08 (06:30:07) | ===> btop++ v.1.3.2
2024/05/08 (06:30:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (11:16:30) | ===> btop++ v.1.3.2
2024/05/12 (11:16:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (11:37:44) | ===> btop++ v.1.3.2
2024/05/12 (11:37:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/16 (05:01:06) | ===> btop++ v.1.3.2
2024/05/16 (05:01:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/16 (05:11:16) | ===> btop++ v.1.3.2
2024/05/16 (05:11:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/16 (15:10:57) | ===> btop++ v.1.3.2
2024/05/16 (15:10:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

